Region;Schadstoff;Einheit;NFR_Code;Trendbericht_Sektor;Quelle;Datenstand;Jahr; Werte 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2012; 193.251,69 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2013; 193.686,46 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2014; 186.667,63 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2015; 184.031,04 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2016; 176.538,70 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2017; 167.319,05 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2018; 155.099,50 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2019; 145.854,07 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2020; 124.421,02 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2021; 123.121,46 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2022; 114.987,59 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2023; 108.764,22 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2024; NA 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2025; NA 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2026; NA 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2027; NA 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2028; NA 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2029; NA 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2030; NA 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1990; 18.389,34 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1991; 17.807,81 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1992; 15.064,66 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1993; 12.755,39 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1994; 11.719,11 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1995; 13.354,06 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1996; 11.758,17 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1997; 12.626,68 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1998; 11.886,26 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;1999; 11.788,40 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2000; 11.815,24 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2001; 13.806,10 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2002; 12.760,86 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2003; 14.586,78 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2004; 14.844,53 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2005; 15.271,89 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2006; 15.706,16 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2007; 14.934,79 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2008; 13.875,89 
